iter	MultiClass
0	1.083164722
1	1.067729018
2	1.051083738
3	1.036616623
4	1.021938035
5	1.008119795
6	0.9944698579
7	0.9823214933
8	0.9691718344
9	0.9569948182
10	0.9455365262
11	0.934428735
12	0.9258336662
13	0.9186846833
14	0.9076340131
15	0.8973760977
16	0.8881065695
17	0.8785479776
18	0.8702536419
19	0.862009692
20	0.8541911735
21	0.8461799056
22	0.8382133022
23	0.8299465935
24	0.8224327648
25	0.8147649581
26	0.8072744341
27	0.8000363854
28	0.7926165885
29	0.7850280408
30	0.7776858145
31	0.7705754166
32	0.7635294901
33	0.756753792
34	0.7506777824
35	0.7447371332
36	0.7383233708
37	0.7319086483
38	0.7275928002
39	0.721828667
40	0.7160241753
41	0.7099517438
42	0.7052534359
43	0.699374573
44	0.693944535
45	0.6886151193
46	0.6834891585
47	0.6778921928
48	0.6725730932
49	0.6678214948
50	0.6631624665
51	0.657791791
52	0.6532495708
53	0.648555646
54	0.6435937059
55	0.6392044142
56	0.6351873797
57	0.6305158337
58	0.6262707524
59	0.6222676408
60	0.6184621155
61	0.6141947331
62	0.6099619182
63	0.6062126224
64	0.6026384466
65	0.5987449028
66	0.5954531461
67	0.5917974731
68	0.5883693154
69	0.5851674603
70	0.5815504345
71	0.5776592203
72	0.5742409865
73	0.5707007476
74	0.5675174932
75	0.5645161977
76	0.5611465734
77	0.5575473079
78	0.5538376165
79	0.550810739
80	0.5481677649
81	0.5449822984
82	0.5417137853
83	0.5388301302
84	0.5360636611
85	0.5331515135
86	0.5298542114
87	0.5264807075
88	0.5235151914
89	0.5210112506
90	0.5180125935
91	0.5151304604
92	0.5124690002
93	0.5096940313
94	0.5068632905
95	0.5039859666
96	0.5017275915
97	0.4987543762
98	0.4960410775
99	0.4931950957
100	0.4903127298
101	0.4878257679
102	0.4854094665
103	0.4826925298
104	0.4798994938
105	0.4775790982
106	0.4748329656
107	0.4725358732
108	0.4701057761
109	0.467685287
110	0.4653116675
111	0.463349063
112	0.4608712418
113	0.4588901957
114	0.456555175
115	0.4541686075
116	0.4517962231
117	0.4493740018
118	0.4471943812
119	0.4450863264
120	0.4431564228
121	0.4411837123
122	0.4392111809
123	0.4372656649
124	0.4351377449
125	0.4335720226
126	0.4313846532
127	0.4298442055
128	0.4278321818
129	0.4260192588
130	0.4238201295
131	0.4217487795
132	0.4197829358
133	0.4176726269
134	0.4156143429
135	0.413281811
136	0.4112533264
137	0.4092859315
138	0.4073183297
139	0.4052911375
140	0.403240938
141	0.4015571267
142	0.3995216574
143	0.3974192945
144	0.3955315742
145	0.3936698504
146	0.3920677121
147	0.390120335
148	0.3882973296
149	0.3864501515
150	0.3848842689
151	0.3832632298
152	0.3815917258
153	0.379732582
154	0.3781510424
155	0.3764197391
156	0.3747289329
157	0.3729843362
158	0.3714365804
159	0.3696053994
160	0.3680269997
161	0.3666012335
162	0.3650412977
163	0.3636541157
164	0.3623665841
165	0.3606316725
166	0.3589720569
167	0.3576658981
168	0.3561601522
169	0.3546364936
170	0.3530471484
171	0.3516542593
172	0.3501493617
173	0.3490485008
174	0.3474575425
175	0.3460893834
176	0.3444898976
177	0.3429588834
178	0.3414945021
179	0.3398299931
180	0.3384013187
181	0.3368649355
182	0.335568521
183	0.3341640074
184	0.3329187916
185	0.3316481807
186	0.3302095476
187	0.3287089519
188	0.3274864058
189	0.3260172228
190	0.3245327778
191	0.323120332
192	0.3218032672
193	0.3206439543
194	0.3191861753
195	0.3179237092
196	0.3165702651
197	0.3154659761
198	0.3141871411
199	0.3128851138
200	0.3116025874
201	0.310333417
202	0.30901071
203	0.3075764253
204	0.3062387949
205	0.3051708494
206	0.3040223731
207	0.3026683603
208	0.3014425524
209	0.3003867579
210	0.299082962
211	0.2977905357
212	0.2965212177
213	0.2953955987
214	0.2941463336
215	0.2928334423
216	0.291644532
217	0.2904886758
218	0.2892784083
219	0.2881587783
220	0.2870362238
221	0.2859482216
222	0.2847686114
223	0.2834447747
224	0.2822702487
225	0.2810661094
226	0.2799957275
227	0.2788570168
228	0.2778438256
229	0.2767312186
230	0.2755190852
231	0.2743658526
232	0.2732420239
233	0.2722504482
234	0.2711635137
235	0.2702606012
236	0.2692809648
237	0.2683526225
238	0.2672392027
239	0.2660806377
240	0.2650755766
241	0.2639903695
242	0.2630664033
243	0.2619531468
244	0.2609788778
245	0.2599864499
246	0.258927328
247	0.2579639981
248	0.2569804354
249	0.2561481249
250	0.2551655303
251	0.2541275748
252	0.2533336878
253	0.2524527486
254	0.2515348242
255	0.2504893318
256	0.249862799
257	0.2489054748
258	0.2479092273
259	0.2469855607
260	0.2462107366
261	0.2453737178
262	0.2445131619
263	0.2436626857
264	0.2426411591
265	0.2417264465
266	0.2408107863
267	0.239875851
268	0.2388857681
269	0.2380138464
270	0.2372373859
271	0.2364035301
272	0.2355452651
273	0.2345275291
274	0.2337522857
275	0.2329759422
276	0.232014348
277	0.2312140778
278	0.2304571884
279	0.2295637755
280	0.2287343561
281	0.227876363
282	0.2270260252
283	0.2261728869
284	0.2254062195
285	0.224631253
286	0.2237767859
287	0.2228898885
288	0.2220388567
289	0.2213444217
290	0.2205298246
291	0.2197814382
