iter	MultiClass
292	0.2190692987
293	0.218301821
294	0.2174479262
295	0.2166403045
296	0.2158779858
297	0.2151187428
298	0.2143917515
299	0.2135782353
300	0.2128363727
301	0.2120720423
302	0.2112911587
303	0.2104818167
304	0.2097391779
305	0.2089819647
306	0.2082568813
307	0.2075362281
308	0.206784313
309	0.2060619358
310	0.2052399965
311	0.2045037697
312	0.2038127022
313	0.2030839741
314	0.2023205325
315	0.2017173606
316	0.2011105752
317	0.2003997682
318	0.199676307
319	0.1989764807
320	0.198351972
321	0.1977344442
322	0.1971105105
323	0.1964604842
324	0.1958177293
325	0.1952448604
326	0.1946727591
327	0.1940079432
328	0.1933475493
329	0.1926802785
330	0.1920848635
331	0.1914830617
332	0.1909084319
333	0.1902852713
